,day,month,twilight_start_hour,twilight_end_hour
0,1,1,6.933333333333334,17.433333333333334
1,2,1,6.95,17.45
2,3,1,6.95,17.45
3,4,1,6.95,17.466666666666665
4,5,1,6.95,17.483333333333334
5,6,1,6.95,17.5
6,7,1,6.95,17.516666666666666
7,8,1,6.95,17.533333333333335
8,9,1,6.95,17.55
9,10,1,6.95,17.566666666666666
10,11,1,6.95,17.583333333333332
11,12,1,6.933333333333334,17.6
12,13,1,6.933333333333334,17.616666666666667
13,14,1,6.933333333333334,17.633333333333333
14,15,1,6.933333333333334,17.65
15,16,1,6.916666666666667,17.666666666666668
16,17,1,6.916666666666667,17.683333333333334
17,18,1,6.916666666666667,17.7
18,19,1,6.9,17.716666666666665
19,20,1,6.9,17.733333333333334
20,21,1,6.883333333333333,17.75
21,22,1,6.883333333333333,17.766666666666666
22,23,1,6.866666666666667,17.783333333333335
23,24,1,6.866666666666667,17.8
24,25,1,6.85,17.816666666666666
25,26,1,6.833333333333333,17.833333333333332
26,27,1,6.833333333333333,17.85
27,28,1,6.816666666666666,17.866666666666667
28,29,1,6.8,17.883333333333333
29,30,1,6.8,17.9
30,31,1,6.783333333333333,17.933333333333334
31,1,2,6.766666666666667,17.95
32,2,2,6.75,17.966666666666665
33,3,2,6.733333333333333,17.983333333333334
34,4,2,6.733333333333333,18.0
35,5,2,6.716666666666667,18.016666666666666
36,6,2,6.7,18.033333333333335
37,7,2,6.683333333333334,18.05
38,8,2,6.666666666666667,18.066666666666666
39,9,2,6.65,18.083333333333332
40,10,2,6.633333333333333,18.116666666666667
41,11,2,6.616666666666667,18.133333333333333
42,12,2,6.583333333333333,18.15
43,13,2,6.566666666666666,18.166666666666668
44,14,2,6.55,18.183333333333334
45,15,2,6.533333333333333,18.2
46,16,2,6.516666666666667,18.216666666666665
47,17,2,6.5,18.233333333333334
48,18,2,6.483333333333333,18.25
49,19,2,6.45,18.266666666666666
50,20,2,6.433333333333334,18.283333333333335
51,21,2,6.416666666666667,18.3
52,22,2,6.383333333333334,18.316666666666666
53,23,2,6.366666666666666,18.333333333333332
54,24,2,6.35,18.35
55,25,2,6.316666666666666,18.383333333333333
56,26,2,6.3,18.4
57,27,2,6.283333333333333,18.416666666666668
58,28,2,6.25,18.433333333333334
59,29,2,6.233333333333333,18.45
60,1,3,6.216666666666667,18.466666666666665
61,2,3,6.183333333333334,18.483333333333334
62,3,3,6.166666666666667,18.5
63,4,3,6.133333333333334,18.516666666666666
64,5,3,6.116666666666666,18.533333333333335
65,6,3,6.083333333333333,18.55
66,7,3,6.066666666666666,18.566666666666666
67,8,3,6.033333333333333,18.583333333333332
68,9,3,6.016666666666667,18.6
70,10,3,6.983333333333333,19.616666666666667
71,11,3,6.966666666666667,19.633333333333333
72,12,3,6.933333333333334,19.65
73,13,3,6.916666666666667,19.666666666666668
74,14,3,6.883333333333333,19.683333333333334
75,15,3,6.866666666666667,19.7
76,16,3,6.833333333333333,19.716666666666665
77,17,3,6.8,19.733333333333334
78,18,3,6.783333333333333,19.75
79,19,3,6.75,19.766666666666666
80,20,3,6.733333333333333,19.783333333333335
81,21,3,6.7,19.8
82,22,3,6.683333333333334,19.816666666666666
83,23,3,6.65,19.833333333333332
84,24,3,6.616666666666667,19.85
85,25,3,6.6,19.866666666666667
86,26,3,6.566666666666666,19.883333333333333
87,27,3,6.55,19.9
88,28,3,6.516666666666667,19.916666666666668
89,29,3,6.483333333333333,19.933333333333334
90,30,3,6.466666666666667,19.95
91,31,3,6.433333333333334,19.966666666666665
92,1,4,6.416666666666667,19.983333333333334
93,2,4,6.383333333333334,20.0
94,3,4,6.35,20.016666666666666
95,4,4,6.333333333333333,20.033333333333335
96,5,4,6.3,20.05
97,6,4,6.283333333333333,20.066666666666666
98,7,4,6.25,20.083333333333332
99,8,4,6.233333333333333,20.1
100,9,4,6.2,20.116666666666667
101,10,4,6.166666666666667,20.133333333333333
102,11,4,6.15,20.15
103,12,4,6.116666666666666,20.166666666666668
104,13,4,6.1,20.183333333333334
105,14,4,6.066666666666666,20.2
106,15,4,6.05,20.216666666666665
107,16,4,6.016666666666667,20.233333333333334
108,17,4,6.0,20.25
109,18,4,5.966666666666667,20.266666666666666
110,19,4,5.95,20.283333333333335
111,20,4,5.916666666666667,20.3
112,21,4,5.9,20.316666666666666
113,22,4,5.883333333333333,20.333333333333332
114,23,4,5.85,20.35
115,24,4,5.833333333333333,20.366666666666667
116,25,4,5.8,20.383333333333333
117,26,4,5.783333333333333,20.4
118,27,4,5.766666666666667,20.416666666666668
119,28,4,5.733333333333333,20.45
120,29,4,5.716666666666667,20.466666666666665
121,30,4,5.7,20.483333333333334
122,1,5,5.666666666666667,20.5
123,2,5,5.65,20.516666666666666
124,3,5,5.633333333333333,20.533333333333335
125,4,5,5.616666666666667,20.55
126,5,5,5.583333333333333,20.566666666666666
127,6,5,5.566666666666666,20.583333333333332
128,7,5,5.55,20.6
129,8,5,5.533333333333333,20.616666666666667
130,9,5,5.516666666666667,20.633333333333333
131,10,5,5.5,20.65
132,11,5,5.483333333333333,20.666666666666668
133,12,5,5.466666666666667,20.683333333333334
134,13,5,5.45,20.7
135,14,5,5.433333333333334,20.716666666666665
136,15,5,5.416666666666667,20.733333333333334
137,16,5,5.4,20.75
138,17,5,5.383333333333334,20.766666666666666
139,18,5,5.366666666666666,20.783333333333335
140,19,5,5.35,20.8
141,20,5,5.333333333333333,20.816666666666666
142,21,5,5.316666666666666,20.833333333333332
143,22,5,5.316666666666666,20.85
144,23,5,5.3,20.866666666666667
145,24,5,5.283333333333333,20.883333333333333
146,25,5,5.266666666666667,20.883333333333333
147,26,5,5.266666666666667,20.9
148,27,5,5.25,20.916666666666668
149,28,5,5.25,20.933333333333334
150,29,5,5.233333333333333,20.95
151,30,5,5.216666666666667,20.966666666666665
152,31,5,5.216666666666667,20.966666666666665
153,1,6,5.216666666666667,20.983333333333334
154,2,6,5.2,21.0
155,3,6,5.2,21.0
156,4,6,5.183333333333334,21.016666666666666
157,5,6,5.183333333333334,21.033333333333335
158,6,6,5.183333333333334,21.033333333333335
159,7,6,5.183333333333334,21.05
160,8,6,5.166666666666667,21.066666666666666
161,9,6,5.166666666666667,21.066666666666666
162,10,6,5.166666666666667,21.083333333333332
163,11,6,5.166666666666667,21.083333333333332
164,12,6,5.166666666666667,21.1
165,13,6,5.166666666666667,21.1
